"HolderAddress","Quantity","PendingBalanceUpdate"
"0x1e3230d8c4d54bab2148a4cb493cefee7a61e7aa","4","No"
"0x26a6f7f767aa8b3055e5d023be23d3bf7242f4f6","4","No"
"0x3c0a3d1994c567fd4bf17dc5858ec84ff1f87501","4","No"
"0x430d553c967ec200045a60951ef5dab3cde95548","4","No"
"0x6d7cc1045bb46e1c697f4d3db88df3e2453e8c5b","4","No"
"0x745dd471cbe8e510f787f5f4de527a7cdc34534d","4","No"
"0xbce3bd3b206946abbe094903ae2b4244b52fb4e9","4","No"
"0xc03c94708be1626ef210c8bb1f59282b7cfd9027","4","No"
"0xc3350ad1d08f85acab2025657fbee18c1c98cce1","4","No"
"0xe40ae4e6c71408b25b7d2a119c41f1f56ef27e0e","4","No"
"0xf6b60b7d8933ade621c89af9f9d9ea8c721b049f","4","No"
"0xfb526650124b2cb666fae7c5335e5b6d0cb823a2","4","No"
"0x01535764501ae1dccd6a7a4452e1368e4a32c83b","3","No"
"0x0374c2a8ab9fd2b23305f168ee2a512e9bbd3094","3","No"
"0x058273c8b3d8ac061cb4599ba816c4807c42c838","3","No"
"0x05a8810bf69a6d9496497a364f1e21e855187f95","3","No"
"0x073c332ced8b9c6e73b3d3ef4ee6f0862fff3549","3","No"
"0x073e0ffb23fe7cf918efa23ac1e2b07f23654e67","3","No"
"0x07ad4d3f9b0efc16d6f3598dd360de89b76b40d3","3","No"
"0x08046e2349017615d53d3977c307d39ab4eeb3cf","3","No"
"0x0813290698e0fe46fbeca7974c598920c35d27fa","3","No"
"0x091de5198b3fa9621fbf2a736bc8dd97baa47ca2","3","No"
"0x0955476b9daec02653e688b865660ca5417faad4","3","No"
"0x0970b838d4d209b21de42ca52f7e0fe79811de26","3","No"
"0x0976042c0dbef8ca724dc5d2f3c3bfff1a23054a","3","No"
"0x098132fccb732f650071d6b281092df22d60c28e","3","No"
"0x0b57a971566ecfafc0dcd34b50641f6d18ecf80d","3","No"
"0x0b6d56b0aebcba43052e7c172de9754338fd3dd1","3","No"
"0x0bad329cb915575f2fc954da0f31a3ad06d0883d","3","No"
"0x0ca85b489a1276ef7042f1d032d0ef3831eaf4ca","3","No"
"0x0cb7d023f049585bdb6ea48733d2b94926f1ca60","3","No"
"0x0cf43674e2ff8aa07d904847f55e3c2afdc3a9fa","3","No"
"0x0d73aa5de89b309798f9fcbba8b86c4fd5f542fc","3","No"
"0x0dce30c769aa958023240c0404f83914a79e7b33","3","No"
"0x0e73d837b29ac157d072c946ad65d3fa9a5750ba","3","No"
"0x0edb635efdb162ff3ce1d63fdaf36e02f7e2bd82","3","No"
"0x0ee0e28ca9cdcb98960c38e909598a272c8fca95","3","No"
"0x0eeb1b4854252fa5e1defbf4c441315e2abd279a","3","No"
"0x0f916d6bccce8eb2fdf0cbef7dde2452fc55ba09","3","No"
"0x0fa1288c9eddfbcfb93f484e19bd2c7564f72368","3","No"
"0x0fc5529117edb4f728d0b8ff82b63fceb10869d0","3","No"
"0x105b7b1e87b4035eac42b8d7cf07b210f0284d33","3","No"
"0x10c1c5554d4ed417d1d3b0e9c7b08e057bc9cb3c","3","No"
"0x111e6bbd3ed469fe2cb26e79f4162e4dbddd2355","3","No"
"0x12b6d12a6b5d23804c94ec1e40e0df5e91bd0cc0","3","No"
"0x12e3a5b022b275ad14588ebf82dd99e8d5a4d300","3","No"
"0x13027f849d4bb4193b09ba380f0940f389e770b0","3","No"
"0x13b3ff6f1d996eaf36022ea2a92669e1371e46d7","3","No"
"0x1405d7e44400824de19b24c6333d0dfa2f241774","3","No"
"0x143dd81e2df9be0efb1fec28f934cbf3e398430d","3","No"
"0x14d87e292aa0e251ca50bf980b8ca54d4f2f2623","3","No"
"0x153d9db36b3590b7a14313724e66edaf50d235f0","3","No"
"0x15b383b0e83a1311a006567f6b330fba7ec26d88","3","No"
"0x15f118b55d5eb14cde53c0953f80bdd498d18736","3","No"
"0x16ad81285cc81f046005891f250fc39580397946","3","No"
"0x171cc3ddae5825b707ad072fd640fcaac1c0e36d","3","No"
"0x177cedede56c25174823424bec382df16bb03596","3","No"
"0x1793cf5ff43ed5171f74aefa634ac4df917db55d","3","No"
"0x17a50fc210ac1174c24e2d0910bcf78d94a9cf0b","3","No"
"0x18075f4f3fb3526e6e4d8f82c7464496d7c2cf9e","3","No"
"0x1885597ca499c1b460ef30248bdc5c28f5c75c93","3","No"
"0x188bf6eafb47605bc31bcf545aba257e4ffc61ea","3","No"
"0x190ec0d4acf97a2de0298f58d6b0e3033def5ec6","3","No"
"0x193f0ee42a199a0cecd479a9f09ba293eb1ca357","3","No"
"0x194b3496e9d2ffae6af332350d33af8b21ca9b5d","3","No"
"0x196bf546a4944c31856009a87347c735e5d42a9d","3","No"
"0x1985bde6f68ff743907d147ead62da65ab651714","3","No"
"0x19aa8a1018a8ad2c665dbcef4ed635c16c1d8ca8","3","No"
"0x1bb3e2ebc87daad4c2b4495451557f0a3d3aa36c","3","No"
"0x1bb42ee14895f93bbd377f2b2802b11b6ee40b9b","3","No"
"0x1bb436170c507d41cfa5abc0d35eeda895755a12","3","No"
"0x1c4e354346e74ee483e92e94dc35ecd663d172ac","3","No"
"0x1c57c45b997908d073c0b8d83d021a51db06715c","3","No"
"0x1c812713a9654319fa7daec9e3311b1b3ce9143d","3","No"
"0x1c844fbd946ff35385d636953017cee2781db754","3","No"
"0x1cd15d7fb8437d29ec950fc6c2232e329cb7c018","3","No"
"0x1d6b3057770db1bae333ac2909660c79cd533a99","3","No"
"0x1e305fa56ef0b058e7c6da8891164c17708b678b","3","No"
"0x1ea911eb476be35fd0f8aa6b5a159cc86bb3fdf0","3","No"
"0x1f5b92a52cfddbd6d3a02473bdbcf73051720c28","3","No"
"0x21271500be1638e05e6fba300520f4f019f34a4e","3","No"
"0x2176c4c6e8b483aaa6dfe4a06fd22ead7713e050","3","No"
"0x2177da04f9479496c2292d6344d306aa49beb34a","3","No"
"0x219af6ce48385d1f8bf7219c38b6b917f1571522","3","No"
"0x22657c7fb5207d2e02f5d9dcc42fdc5277a3e768","3","No"
"0x23f8c7db7a1b656652e9726ab264c5b181418b9f","3","No"
"0x252355c0baf5e72a39a2f2f8f30e327e58f2ffe0","3","No"
"0x261318280a2593780fc0b49463d2065bc4b9acea","3","No"
"0x275272639eaeb5e0c4c607ba93b551336182754e","3","No"
"0x27c79a01878962ce0b6126af6e184c06d36c8f37","3","No"
"0x27ca40b4bb1416c7217662ab4631930ad0119327","3","No"
"0x2829d75963e0f9475c31e8dd014152b3ad2efc6b","3","No"
"0x28f7c93056e7c777e1db3aeb6468ec79d0d72d7e","3","No"
"0x297419b983e64118129473c55cfa4184e3dad249","3","No"
"0x29ab060bd02cd22e4042095679cfc5118098d46c","3","No"
"0x2a052a1e9b0c0d665b55baafe671c7a1a93ca513","3","No"
"0x2a93d080b47d381f46ee06b71378e44169fee011","3","No"
"0x2afd8ba65eee777c0f73bb65ef07e1024b627b55","3","No"
"0x2b3147a215630ec9f22344ca19944a9ec5cd4158","3","No"
"0x2b8a85ad94e02c1ec7d78d98ffb0bd9a3e9f1411","3","No"
"0x2bd028e01e47610fcf399182df88f953e7f97de5","3","No"
"0x2c998a6cf2665b3bbc6aeaa94bd8ab5452970ec3","3","No"
"0x2df0fd0aac061e864f6402ea4c62aa6167a4578d","3","No"
"0x2dfa8ebc4655b06c1fa0b17182f18571833558a9","3","No"
"0x2e3dc6ac7f39a59eef62521621d237150f3ed8af","3","No"
"0x2e711c55342e9fbe5bce67c5265ed55480181838","3","No"
"0x2f7100a662ad8ecf32bf70ec9880d8c3eafad29f","3","No"
"0x3109b557cd97345d300f44924b603fd5549d1602","3","No"
"0x31861bf9d1348252512bb6fad4525e3a0f7b61ab","3","No"
"0x319ae2eed5238c6c1f9f5c836302c147cbcb1406","3","No"
"0x32497a0f2b734eed721e60a3c270c2029430325a","3","No"
"0x3265a39fa1bdd28b9029568208e3cb4639adbf3e","3","No"
"0x334c16b4145929a2be422c2110434593670adc94","3","No"
"0x33abc6286795e0045d462082027802af5a86eca3","3","No"
"0x344b8002fdc558f1c6fdfb6e6d46773a3361a6a9","3","No"
"0x34756d8400f2426851dc46d6ab38f0df004ce1e7","3","No"
"0x349a30400d7cb23ce685326e0658fea2efbd3f3f","3","No"
"0x34e7f6a4d0bb1fa7afe548582c47df337fc337e6","3","No"
"0x3637f826bd0a4ae4bcb0b48fac9b7c89b8f2d4e7","3","No"
"0x369615bc57975b06c418f42d3fda3754a385b97b","3","No"
"0x36f70b46ffaee544588694ca9612a1a6709fa313","3","No"
"0x3705121529bf40d77e8e7b625120551b151d9af2","3","No"
"0x377a644dfa0b4a1dd3a859f960cda61bc5ed7a9b","3","No"
"0x379584b4594a7e6ddfc8005da44ff1bc84496978","3","No"
"0x379f75d14f5822e3491d4618f9517a99f881da0a","3","No"
"0x37ab9cbfacb18d59831d40ff47ba673c066120a2","3","No"
"0x3862ffa813aa484e7384d07d1e686fc1b81a2d9c","3","No"
"0x388f73bce307d1badb543627b522c8909a7a8a30","3","No"
"0x39531d59fb7f1bbb0d47ab8b4fc6fa640f888a85","3","No"
"0x3a5775510c1889eebac7722c1fa7d3c7a5844718","3","No"
"0x3abfc7ffa744edc456d361be957f972d1bac4991","3","No"
"0x3ac0c17dda63d24c32655fbb4c09cbb564e9c16b","3","No"
"0x3d2198fc3907e9d095c2d973d7ec3f42b7c62dfc","3","No"
"0x3de5327ced33ce0a298e807d72709ce60c9f34e5","3","No"
"0x3f0097edfe04ae5a58203d285d5dd923b36782af","3","No"
"0x4032ab8d5cced1444240c7b973f36d712981fb00","3","No"
"0x407a19184306804ea7e4e86515aa71379b50f877","3","No"
"0x407a30af48d6523873c5027610a57f5d02b6252c","3","No"
"0x40f8242f0a5ab38679bd63bf481e81fa44f70f98","3","No"
"0x40fb301dc3e6e706051a7f917bf1df8bbbe65cd1","3","No"
"0x414826beb718f2b204bca67b949604bdc739fcba","3","No"
"0x41495bd21e46a6fc08e6d19562064198e874b97f","3","No"
"0x42353a7fc70eab5c0017733813805313b7b10b8b","3","No"
"0x424adf9d641b781870afd230775b4ec9a6e3b2f8","3","No"
"0x427d5f96fd50a8bc8de6eeb70b15e86366297fa7","3","No"
"0x42bf256dd1abb69590afc4e352a5c518c0e48215","3","No"
"0x42c87cbc6de0940ecf441afae0b94e6638194c1e","3","No"
"0x4306a9f32ce8c597b34ee8d580df06cec369cf33","3","No"
"0x4354d9cf4efac6a04e70168d48a309fa6064e700","3","No"
"0x43e52b1326711319e8056e5745837c52a24567a7","3","No"
"0x44b4d430e7c56e4ca04c5799e561063ccc1f1df2","3","No"
"0x4534c697798050a3a24043726b2006ce4ba2575f","3","No"
"0x46b008f74ba1821060ccf00369d16288e08104fb","3","No"
